Time (s),t4_c11,t4_c12,t4_c13,t4_c14,t4_c15
0,399.238,498.863,699.388,445.538,588.837
60,409.512,536.675,475.725,446.15,593.163
120,422.038,1114.225,496.188,444.95,605.888
180,440.85,2756.938,512.175,457.288,600.8
240,433.125,1754.225,523.237,449.512,567.312
300,415.562,1021.212,496.512,427.75,557.7
360,415.325,552.062,482.887,418.2,532.6
420,390.863,498.012,498.25,412.775,534.712
480,398.438,492.363,477.312,412.212,509.2
540,417.325,526.15,516.075,407.137,545.5
600,425.95,524.425,564.312,444.438,566.725
660,431.65,529.7,565.663,464.325,561.038
720,433.45,567.612,551.962,466,582.425
780,435.75,543.763,557.85,458.875,603.9
840,423.675,568.163,567.975,464.225,578.163
900,420.4,580.538,574.325,478.712,602.112
960,431.275,561.962,550.975,484.225,590.062
1020,417.675,544.763,530.737,465.938,574.112
1080,419.137,557.837,524.95,409.175,568.462
1140,417.938,500.575,510.512,417.475,531.125
1200,424.3,524.55,540.3,438.087,556.4
1260,412.238,477.55,520.837,428.413,559.688
1320,418.038,482.212,493.113,440.55,592.85
1380,411.938,473.975,563.175,429.538,578.6
1440,419.425,504.075,551.975,424.387,561.075
1500,930.237,516.263,587.163,455.113,562.788
1560,1186.2,503.3,575.663,431.512,1180.7
1620,824.737,494.962,526.888,427.238,1467.938
1680,723.625,499.913,488.675,432.988,1538.65
1740,436.962,489.35,515.475,434.163,1376.475
1800,404.625,466.15,521.925,403.488,1190.037
1860,435.363,466.363,538.075,498.625,743.212
1920,908.837,2869.613,2140.25,418.65,2732.662
1980,831.788,3041.175,2176.525,383.175,2726.925
2040,1134.263,3130.475,2151.85,504.3,2715.475
2100,1784.65,3157.95,2035.763,1900.888,2750.963
2160,1830.25,3197.475,2422.025,1961.912,2777.8
2220,1960.812,3227.225,2613.137,2074.675,2991.55
2280,2101.525,3355.6,2847.45,2085.325,3171.4
2340,2135.275,3317.938,2847.95,1982.525,3085.1
2400,2142.938,3325.575,2898.375,2026.925,3206
2460,2360.8,3428.175,2973.412,2031.162,3357.6
2520,2231.637,3489.175,2967.225,1791.475,3308.225
2580,2272.812,3450.988,3002.525,1549.775,3583.938
2640,2313.887,3421.688,3104.825,1985.15,3508.088
2700,2142.512,3486.562,2998.762,2044.537,3145.225
2760,2148.725,3456.075,3073.537,1974.875,3103.738
2820,2273.588,3445.713,3126.287,2024.875,3344.975
2880,2435.338,3473.113,2977.45,1931.787,3459.075
2940,2103.925,3482.613,2885.463,1336.425,3366.775
3000,1840.35,3459.213,2863.137,1392.925,3194.7
3060,1875.838,3264.1,2758.85,1847.65,2935.45
3120,1684.95,3146.1,2727.075,1788.888,2979.262
3180,1724.938,3071.662,2518.363,1573.35,2870.688
3240,1484.088,2975.662,2275.238,1358.138,2777.662
3300,1329.487,2735.713,2173.787,1239.037,2525.875
3360,1135.125,2639.137,1919.388,921.175,2288.537
3420,987.487,2368.425,1799.05,836.825,2190.95
3480,956.688,2127.8,1631.125,785.337,2166.412
3540,882.388,2029.612,1399.85,696.737,2021.125
3600,783.8,1816.375,1195.575,654.062,1849.263
3660,1124.812,1759.787,1077.325,563.712,1700.188
3720,1026.05,1622.213,997.6,560.737,1662.713
3780,816.587,1613.562,943.788,563.487,1662.6
3840,737.413,1527.7,886.038,516.237,1514.1
3900,746.688,1397.362,864.337,561.8,1497.412
3960,1261.125,1300.438,853.55,473.137,1458.713
4020,1194.15,1127.513,803.587,453.988,1265.438
4080,941.625,1056.263,771.663,671.138,1147.862
4140,827.087,915.225,741.837,615.225,993.2
4200,778.312,832.487,671.675,412.95,812.062
4260,937.5,772.4,638.325,371.3,582.513
4320,1245.425,717.775,608.3,380.413,451.887
4380,1089.612,664.1,593.837,437.95,411.538
4440,802.812,581.212,615.975,466.95,405.4
4500,629.9,558.487,583.038,384.475,375.375
4560,542.163,521.5,550.263,353.163,361.825
4620,467.587,530.275,508.387,373.6,369.062
4680,483.663,500.238,512.862,866.05,329.1
4740,484.675,458.8,493.738,636.325,324.6
4800,487.625,459.95,457.012,575.337,322.15
4860,499.812,482.863,426.863,620.688,320.988
4920,507.075,483.913,470.825,534.413,304.788
4980,529.175,519.075,484.738,447.025,325.113
5040,470.413,512.1,515.825,748.75,311.488
5100,440.425,487.762,468.988,671.925,334.413
5160,477.15,442.637,443.712,753.413,342.087
5220,484.712,486.95,473.438,722.013,280.863
5280,549.288,464.2,425.688,733.337,289.212
5340,581.625,479.587,470.075,673.888,292.962