Time (s),t0_c7,t0_c8,t0_c9,t0_c10,t0_c11
0,468.841,1633.868,601.806,479.265,551.838
60,449.278,1613.314,457.633,498.353,555.485
120,430.063,1067.116,411.102,488.324,587.066
180,438.127,657.107,380.918,481.324,595.919
240,440.841,487.347,367.276,453.029,701.412
300,440.063,420.256,386.827,427.441,741.963
360,459.754,434.074,393.388,422,686.926
420,462.27,415.256,422.173,398.044,648.118
480,465.587,410.983,439.796,495.985,645.11
540,437.579,412.975,403.653,735.397,1156.118
600,506.595,401.62,425.265,806.515,1695.75
660,727.897,409.744,412.235,755.074,1983.096
720,790.698,384.372,404.541,677.824,1821.706
780,583.96,402.165,410.653,588.279,1038.243
840,437.214,413.686,591.357,554.147,563.86
900,412.159,427.405,617.622,562.309,476.176
960,436.286,432.223,517.959,472.529,464.794
1020,423.802,440.793,515.622,504.603,430.809
1080,402.452,431.24,459.469,669.632,445.846
1140,414.992,384.719,459.184,808.515,456.831
1200,422.571,386.116,483.786,626.132,429.11
1260,441.421,390.132,411.173,537.471,445.199
1320,510.056,423.686,435.949,606.676,461.566
1380,645.349,415.438,409.296,563.471,432.904
1440,1337.69,440.579,391.061,445.618,428.478
1500,1551.683,474.124,373.663,440.118,424.375
1560,967.444,467.926,392.357,512.118,431.89
1620,563.675,403.446,399.52,516.897,425.434
1680,470.587,389.769,444.776,659.75,446.346
1740,450.262,410.298,428.704,758.912,493.824
1800,470.619,395.785,465.796,955,455.941
1860,525.397,532.182,449.408,987.029,442.007
1920,571.183,581.281,583.163,1055.588,460.419
1980,597.413,557.463,502.786,1147.162,462.176
2040,717.619,457.86,417.133,872.162,491.978
2100,507.484,671.876,390.653,561.691,530.066
2160,411.056,612.694,351.031,411.294,478.309
2220,396.31,626.719,338.418,369.176,488.066
2280,430.008,586.347,332.296,363.838,621.36
2340,419.111,677.107,344.878,379.309,1363.971
2400,521.024,657.512,365.286,388.647,1836.184
2460,532.762,667.083,355.245,456.647,307.632
2520,559.421,497.818,363.112,527.853,406.625
2580,625.119,561.736,386.286,451.426,382.132
2640,658.849,1452.008,372.204,595.882,381.713
2700,519.825,1701.702,342.5,509.309,391.015
2760,472.563,1050,356.071,834.912,348.419
2820,474.056,602.826,362.347,1006.824,350.081
2880,663.127,470.372,354.031,773.206,353.346
2940,606.738,419.653,374.571,451.647,342.75
3000,573.825,374.273,359.918,411.897,359.088
3060,545.238,392.446,377.643,390.985,349.581
3120,444.135,397.686,373.367,378,344.779
3180,381.667,406.38,361.796,386.235,349.868
3240,374.198,435.488,364.684,430.015,349.294
3300,377.603,423.595,352.898,390.662,362.551
3360,395.429,454.289,363,391.456,348.301
3420,442.389,465.521,369.173,471.853,356.787
3480,614.19,437.802,363.602,625.882,349.265
3540,538.69,502.521,392.194,730.765,356.154
3600,493.175,487.157,415.02,629.882,359.493
3660,485.643,523.868,378.551,923.721,353.632
3720,490.921,444.504,364.204,1464.5,457.537
3780,471.103,425.793,356.102,855.176,688.478
3840,458.706,582.628,348.735,430.706,621.64
3900,429.611,681.917,350.48,362.779,511.14
3960,394.063,667.124,358.99,370.941,411.059
4020,394.722,608.446,364.439,371.412,428.706
4080,431.659,506.248,374.092,369.544,398.735
4140,398.683,432.314,382.51,351.926,398.456
4200,456.127,411.058,415.898,356.118,412.221
4260,484.063,394.24,412.612,361.015,385.801
4320,445.405,409.926,365.429,360.721,400.978
4380,457.921,400.967,363.939,355.941,400.221
4440,442.929,435.05,355.214,360.529,388.794
4500,460.103,459.289,366.153,369.015,391.824
4560,772.167,506.521,388.224,362.588,402.294
4620,750.167,457.405,447.857,441.265,435.485
4680,832.238,686.579,509.531,459.632,385.397
4740,630.968,526.041,482.214,421.353,389.868
4800,503.405,572.769,406.051,388.574,417.662
4860,463.841,1103.165,401.531,398.162,449.235
4920,411.865,1794.826,376.847,396.941,440.61
4980,409.659,1921.504,382.704,404.706,439.618
5040,404.365,1095.339,394.388,394.721,476.779
5100,408.413,781.446,403.357,400.191,635.125
5160,473.46,502.777,449.816,419.809,665.993
5220,465.889,410.446,517.163,424.441,1218.551
5280,435.278,426.446,570.398,409.544,655.066
5340,398.857,414.107,457.888,375.868,433.566